의원명,지역,진료과,전화,홈페이지,이메일,운영형태,핵심후크,상태메모,우선순위,접촉일,채널,응답,다음액션
밴스의원 홍대,마포구 동교동,피부과,02-6956-0650,https://hongdae.vandsclinics.com/ (구: https://yoursclinic.co.kr/),없음 — 카톡 pf.kakao.com/_xmxkHls,단독개원,구도메인 방치 — 검색 유입이 인증서 경고로 차단,"도메인 이전 확인: 신도메인 vandsclinics.com 인증서 발급 2026-04-13(만료 2026-10-28) 정상. 구도메인 yoursclinic.co.kr 인증서 2026-06-25 만료 후 미갱신 → 실브라우저에서 apex·www 모두 net::ERR_CERT_DATE_INVALID 차단. openssl 직접 조회로 2차 검증(도구 오탐 아님). 문제는 검색에 구도메인이 여전히 노출 — 의료진소개·시술상세·예약하기 페이지 확인됨. 환자가 검색→예약 클릭 시 경고 화면. 조치=301 리다이렉트. 신 사이트는 다국어 9종·tel링크·비급여수가·방침 모두 갖춰 잘 만들어짐 → 리뉴얼 대상 아님, 유지보수 진입점. 대표 장우선, 사업자 466-31-01483, 양화로 144 3층. 이메일·문의폼 없음",1,,,,
더힐피부과의원 마포공덕점,마포구 도화동,피부과,02-707-1020,http://thehealmapo.com/,없음 — 카톡 pf.kakao.com/_cExgfn,단독개원,화면에 DB 오류 노출 + HTTPS 미설정 + 모바일 미대응,"기술 결함 5개 전부 단정 가능: (1) 페이지 하단에 mysqli_result Object ( [current_field] => 0 [field_count] => 18 [num_rows] => 5 ) DB 오류가 그대로 출력 — 방문자에게 노출, 내부 구조 정보 노출 (2) HTTPS 미설정, https 접속 시 가비아 공용 인증서 *.gabia.io 응답해 도메인 불일치 경고, http만 200 (3) viewport 태그 없음 = 모바일 미대응 (4) 375px 가로 스크롤 (5) tel: 링크 0개 — 휴대폰에서 번호 눌러도 전화 안 걸림. 문의폼 0개. 개인정보처리방침 있음. 제56조 확인 필요: '대한민국 2% 피부과전문의 진료'(수치 근거), '최고급 장비', '어디에서도 경험할 수 없었던'. 대표 우수한, 사업자 844-69-00580, 마포대로 68 마포아크로타워 503~505호",1,,,,
메이퓨어의원 홍대입구점,마포구 동교동,피부과·성형외과,미확보,https://www.maypureclinic.com/,미확인,체인(영등포·성동·금천·성남 등),모바일 레이아웃 깨짐 + tel 링크 없음,375px에서 가로 스크롤 발생. tel: 링크 없음. 본사 관리 사이트로 추정되어 개별 원장 결정권 낮을 수 있음. 주소: 월드컵북로2길 57 5층,2,,,,
나인의원 홍대점,마포구 동교동,피부과,02-325-9990,https://www.9skin2.co.kr/,미확인,단독개원(추정),구버전 사이트가 검색에 노출 + tel 링크 없음,현행 사이트는 정상(200)이나 tel: 링크 없음. 구버전 nineskinhongdae.mycafe24.com/www/index.php가 HTTP 403으로 죽어 있는데 검색 결과에 여전히 노출됨 — 환자가 그 링크를 타면 오류 화면. PHP 쿼리스트링 라우팅(/www/contents.php?inc=) 구조로 상당히 오래된 사이트. 주소: 양화로 165 3층 상진빌딩,2,,,,
홍대 아이디의원,마포구 서교동,피부과,미확보,https://hd.idclinic.co.kr/,미확인,체인(아이디 계열),개인정보처리방침 없음 + 콘텐츠 방치,개인정보처리방침 링크 없음. 페이지 최대 연도 표기 2020 — 3년 이상 갱신 흔적 없음. viewport·tel 링크는 정상(tel 4개),2,,,,
닥터스피부과의원 공덕점,마포구 공덕동,피부과,미확보,https://www.doctors365.co.kr/,미확인,체인(닥터스 네트워크),개인정보처리방침 없음 + tel 링크 없음,개인정보처리방침 링크 없음. tel: 링크 없음. 본사 통합 사이트라 지점 단위 결정권 낮음,3,,,,
톤즈의원 홍대입구역,마포구 동교동,피부과,02-6956-5588,https://www.tonesclinic.co.kr/hongdae,미확인,단독개원,제56조 문구 다수 (기술 결함 없음),"기술 점검 전항목 정상(SSL·viewport·tel 3개·개인정보처리방침·모바일). 제56조 확인 필요 문구: 첫방문 이벤트 '49%' 할인 표기(제27조3항 환자유인 쟁점), 환자 후기 다수 게시(제56조2항9호), '아너 소사이어티 최고 등급 기부 명예' 표시(인증·추천 표시). 대표 박지호, 사업자 105-44-01050. 주소: 양화로 140 H-CUBE 6층",3,,,,
차이의원 홍대점,마포구 서교동,피부과,02-6933-6626,https://chaiclinic.co.kr/,chai-clinic@naver.com,단독개원,푸터 2017 + 제56조 문구,"기술 점검 정상. 푸터 카피라이트 2017년 표기 — 방치로 오인될 소지. 전후사진 게시(동의·미보정 문구는 갖춤). 7월 이벤트 배너 운영. 이메일은 홈페이지에 사람이 직접 확인해 확보(자동 추출 아님). 대표 조원진, 사업자 487-58-00213. 주소: 월드컵로3길 14 딜라이트스퀘어 2차 B동 3층",3,,,,
닥터에버스의원 홍대점,마포구 서교동,피부과,미확보,https://evers12.co.kr/,미확인,단독개원(추정),기술 결함 없음 — 후크 미확보,기술 점검 전항목 정상. 페이지 최대 연도 2025. WebFetch가 403으로 막혀 문구 확인 미완료 — 실브라우저 재방문 필요,4,,,,
서피부과의원,마포구 서교동,피부과,02-334-2898,없음,해당없음,단독개원,홈페이지 없음 → 검색노출 진단으로 전환,공식 홈페이지가 검색으로 확인되지 않음. 검수 리포트 사용 불가 — 학원 A등급과 동일하게 '검색 노출 진단'으로 접근해야 함. 주소: 양화로 128,4,,,,
