학원명,구,과목,전화,홈페이지,이메일,상태메모,우선순위,접촉일,채널,응답,다음액션
스팟칼라미술학원,마포구,미술(입시),02-335-3303,없음,,"spotcolor.co.kr 도메인은 살아있으나 루트·/index.asp 모두 HTTP 404 — 홈페이지 사실상 소실 상태. 정원 30명",A,,,,
윌수학학원,마포구,수학(중고등 보습),02-302-1213,없음,,"willmath.com은 로그인 전용 페이지(본문 13자)로 공개 소개 홈페이지 없음. 정원 15명",A,,,,
굿모닝미술학원,마포구,미술(입시·디자인),02-323-8831,없음,,"독립 홈페이지 없음, 학원정보 포털 리스팅만 노출. 정원 10~40명(과정별)",A,,,,
새말논술국어학원,마포구,국어논술(초중고),02-704-6466,없음,,"독립 홈페이지 없음, 3자 학원정보 사이트에만 소개. 정원 6~7명",A,,,,
디자인나스학원,마포구,디자인(웹·편집),02-3143-3082,https://designnas.com/,hello.nas@designnas.com,"viewport 메타 태그 없음 = 모바일 미대응. 푸터 카피라이트 '2001~2022'. 이메일 문의처 게시",B,,,,
오면꽃예술학원,마포구,화훼장식(플로리스트),02-704-8641,http://omf.kr/,omfkorea@naver.com,"viewport 메타 태그 없음 = 모바일 미대응 고정폭. 푸터에 사업자정보·이메일 게시. 정원 12~13명",B,,,,
신촌뉴실용음악학원,마포구,실용음악(보컬·작곡·피아노),02-706-5577,http://newmusicac.com/,,"푸터 'Copyright ⓒ 2016 PANGDESIGN' — 2016년 제작 후 갱신 흔적 없음. 게시 이메일은 제작사 주소라 제외",B,,,,
예전연기학원,마포구,연기(연극·뮤지컬),02-333-9068,http://www.yjactors.com/,,"HTTPS 접속 시 인증서 오류(ERR_CERT_AUTHORITY_INVALID)로 브라우저 보안경고, HTTP는 403 — 방문자 이탈 요인. 정원 8~10명",B,,,,
홍대네오캣미술학원,마포구,미술(입시),02-322-8809,http://xn--939au0gukv70ezwj.com/,,"한글 도메인 운영. 반응형 메타는 있으나 본문 텍스트가 전무한 이미지 기반 페이지 — 검색 노출·접근성 취약",C,,,,
그린섬미술학원,마포구,미술(입시),02-338-6131,https://www.greensum.com/,,"반응형 최신 사이트(ⓒ2023). 이메일 미게시, 문의는 전화·상담폼만. 정원 18명",C,,,,
에스에이엠에스실용음악학원,마포구,실용음악,02-334-0911,https://samsedu.com/,samsstar@naver.com,"반응형, 푸터에 'E-mail : samsstar@naver.com' 게시. 최근 발표회 게시물로 갱신 중",C,,,,
유니온미술학원,마포구,미술(입시·디자인),02-325-3507,https://hd-union.com/,,"반응형, 2026 수시 합격 콘텐츠로 갱신 중. 이메일 미게시, 예약은 네이버 부킹 외부링크 의존",C,,,,
이룸미술학원,마포구,미술(입시),02-323-8213,https://www.arterum.co.kr/,,"Wix 기반 반응형. 홍대·선릉 2개관 운영. 이메일 미게시",C,,,,
가온국악보습학원,강남구,보습(중고 국영수사과)+국악,02-576-3362,없음,,"독자 홈페이지 없음, 디렉토리 리스팅만 검색됨. 정원 8명(전 과정)",A,,,,
그림숲키즈어학원,강남구,영어·중국어(유아 5~7세),02-576-2744,없음,,"독자 홈페이지 없음, 강남엄마·오늘학교 등 디렉토리 리뷰만 존재",A,,,,
지엠피(GMP)수학학원,강남구,수학·과학·논술(중고등),02-538-8677,없음,,"독자 홈페이지 없음. 'GMP' 검색 결과는 전부 동명 제약·기업 사이트로 학원과 무관",A,,,,
런업입시연기학원,강남구,연기(입시·뮤지컬),02-518-1247,없음,,"독자 홈페이지 없음, OTR·학원비알리미 등 디렉토리 리스팅만 확인. 정원 8명(전 과정)",A,,,,
김이홍영어전문학원,강남구,영어(중고등),02-3443-1516,없음,,"독자 홈페이지 없음, 디렉토리 노출도 거의 없음 — 온라인 접점 최소",A,,,,
뉴오투미술학원,강남구,미술(입시디자인·회화),02-569-1821,없음,,"독자 홈페이지 없음, 강남입시미술연합회(kangnamart.com) 소속 페이지로만 노출",A,,,,
대치이화무용학원,강남구,무용(발레·한국무용·안무),02-539-4553,없음,,"독자 홈페이지 없음, 오늘학교 아카데미 디렉토리(평점 4.7)만 확인",A,,,,
도화2관미술학원,강남구,미술(중·고 입시),02-564-1718,없음,,"독자 홈페이지 없음, 학원비알리미·오늘학교 디렉토리에서만 노출",A,,,,
뷰티풀마인드수학학원,강남구,수학(대치동),02-6338-1210,없음,,"독자 홈페이지 없음, 페이스북 페이지만 확인됨",A,,,,
(주)세한아카데미외국어학원,강남구,외국어(토플·AP·IB·SAT·일본어),02-3453-3422,https://www.sehanedu.com/,sehann_edu@sehann.com,"푸터 'COPYRIGHT ⓒ 1997'. 최신 공지가 2021-02-22로 약 5년간 콘텐츠 미갱신. 푸터에 이메일·사업자번호 게시",B,,,,
케이엔에스에듀초중등1관어학원,강남구,영어(초중고·토플·SAT),02-508-0921,https://www.knsedu.co.kr/,,"viewport 메타 태그 없음 = 모바일 미대응 고정폭. 개인정보처리방침 페이지 404. 공지는 2026-07 갱신 중이라 콘텐츠는 살아있음",B,,,,
(주)산에듀김영준국어논술전문학원,강남구,국어·논술(초중고),02-501-0575,https://sanedu.com/,jeonghee.han@sanedu.com,"워드프레스 반응형, ⓒ2025로 관리 중. 이메일은 개인정보처리방침 페이지에만 게시",C,,,,
대치삼보어학원,강남구,영어(중등정규·토플·내신),02-562-3630,http://www.samboh.co.kr/,samboh3630@naver.com,"반응형 최신 사이트, 푸터에 사업자정보·이메일 게시. 시간표 콘텐츠 운영 중",C,,,,
엘에스에이에듀어학원,서초구,영어(유아·초중고),02-535-8084,없음,,"독자 홈페이지 없음, 페이스북 페이지만 확인됨. 정원 20명(과정당)",A,,,,
지아이에스(GIS)어학원,서초구,영어(유아~고등),02-544-6818,없음,,"독자 홈페이지 없음, 학원 디렉토리·블로그성 정보만 노출. 정원 15명",A,,,,
네오스터디학원,서초구,종합(국영수과사 초중고),02-535-4585,없음,,"독자 홈페이지 없음, 당근마켓 업체 프로필과 디렉토리만 확인. 정원 초등10·중고등15명",A,,,,
뉴탑보습학원,서초구,수학·영어(초중고),02-3472-3479,없음,,"독자 홈페이지 없음, 학원 디렉토리 목록만 확인. 정원 8명(과정당)",A,,,,
오은정국어논술전문학원,서초구,국어논술(초중고),02-536-1686,없음,,"독자 홈페이지 없음, 동일 학원명 사이트 검색 안 됨",A,,,,
매쓰큐보습학원,서초구,수학(초등 사고력·교과),02-534-4280,없음,,"독자 홈페이지 없음, 주소·연락처 외 온라인 정보 없음. 정원 6~8명",A,,,,
윤정영어학원,서초구,영어(초중고),02-593-2585,없음,,"독자 홈페이지 없음, 카카오톡 채널만 운영. 정원 12명",A,,,,
반디과학전문학원,서초구,과학(고등 물화생·통합과학),02-592-5234,없음,,"독자 홈페이지 없음. 검색엔진 교차확인 결과도 동명 무관 사이트만 노출. 정원 15명",A,,,,
반포아너스영어학원,서초구,영어·사회(중고등),02-599-7752,없음,,"독자 홈페이지 없음, 학원정보 사이트 등재 외 확인 안 됨. 정원 10명",A,,,,
반포엘리트어학원,서초구,영어(성인),02-533-7332,없음,,"과거 홈페이지 banpoelite.com이 현재 DNS 무응답(도메인 만료 추정) — 사이트 소실 상태. 정원 20명",A,,,,
방배아벨수학전문학원,서초구,수학(초중고),02-525-2348,없음,,"독자 홈페이지 없음, 학원 디렉토리 정보만 확인. 정원 8명(과정당)",A,,,,
