우선순위,결함수,템플릿,요양기관명,시도,시군구,홈페이지,전화,후크전체,발송문구,발송일,회신,다음액션
1,5,A,모리치피부과의원,서울,강남구,http://richhair.com/,02-518-6888,HTTPS 미설정(http로만 접속) / tel: 링크 없음 — 휴대폰에서 전화 연결 안 됨 / viewport 없음 — 모바일 미대응 / 개인정보처리방침 없음 / 푸터 카피라이트 2015 — 방치 인상,"안녕하세요. 환자 문의가 아니라, 홈페이지 관련해 알려드릴 것이 있어 남깁니다.

모리치피부과의원 홈페이지에 https:// 로 접속하면 보안 인증서 오류로 경고 화면이 뜨고, http:// 로만 정상 접속됩니다.

요즘 브라우저는 주소를 입력하면 https 부터 시도하기 때문에 환자분에 따라 경고 화면을 먼저 보게 됩니다. http 로 열려도 주소창에 ""안전하지 않음""이 표시됩니다.

무료 인증서로도 해결됩니다.

이 외에 휴대폰에서 전화번호를 눌러도 연결되지 않는 점도 함께 확인해 보시면 좋겠습니다.

관리 업체에 그대로 전달하시면 됩니다. 제게 회신하지 않으셔도 괜찮습니다.

웅쓰컴퍼니 / woongs.official@gmail.com",,,
1,5,A,서울맥마취통증의학과의원,서울,노원구,http://www.macpain.co.kr/,02-934-1119,HTTPS 미설정(http로만 접속) / tel: 링크 없음 — 휴대폰에서 전화 연결 안 됨 / viewport 없음 — 모바일 미대응 / 개인정보처리방침 없음 / 푸터 카피라이트 2015 — 방치 인상,"안녕하세요. 환자 문의가 아니라, 홈페이지 관련해 알려드릴 것이 있어 남깁니다.

서울맥마취통증의학과의원 홈페이지에 https:// 로 접속하면 보안 인증서 오류로 경고 화면이 뜨고, http:// 로만 정상 접속됩니다.

요즘 브라우저는 주소를 입력하면 https 부터 시도하기 때문에 환자분에 따라 경고 화면을 먼저 보게 됩니다. http 로 열려도 주소창에 ""안전하지 않음""이 표시됩니다.

무료 인증서로도 해결됩니다.

이 외에 휴대폰에서 전화번호를 눌러도 연결되지 않는 점도 함께 확인해 보시면 좋겠습니다.

관리 업체에 그대로 전달하시면 됩니다. 제게 회신하지 않으셔도 괜찮습니다.

웅쓰컴퍼니 / woongs.official@gmail.com",,,
1,5,A,오아로피부과의원,서울,동작구,http://www.oaro.co.kr/,02-6951-0370,HTTPS 미설정(http로만 접속) / tel: 링크 없음 — 휴대폰에서 전화 연결 안 됨 / 모바일 가로스크롤 발생 / 개인정보처리방침 없음 / 푸터 카피라이트 2017 — 방치 인상,"안녕하세요. 환자 문의가 아니라, 홈페이지 관련해 알려드릴 것이 있어 남깁니다.

오아로피부과의원 홈페이지에 https:// 로 접속하면 보안 인증서 오류로 경고 화면이 뜨고, http:// 로만 정상 접속됩니다.

요즘 브라우저는 주소를 입력하면 https 부터 시도하기 때문에 환자분에 따라 경고 화면을 먼저 보게 됩니다. http 로 열려도 주소창에 ""안전하지 않음""이 표시됩니다.

무료 인증서로도 해결됩니다.

이 외에 휴대폰에서 전화번호를 눌러도 연결되지 않는 점도 함께 확인해 보시면 좋겠습니다.

관리 업체에 그대로 전달하시면 됩니다. 제게 회신하지 않으셔도 괜찮습니다.

웅쓰컴퍼니 / woongs.official@gmail.com",,,
2,4,B,클린업피부과의원,경기,고양일산서구,http://www.upskin.co.kr/,031-921-1877,tel: 링크 없음 — 휴대폰에서 전화 연결 안 됨 / 모바일 가로스크롤 발생 / 개인정보처리방침 없음 / 푸터 카피라이트 2020 — 방치 인상,"안녕하세요. 환자 문의가 아니라, 홈페이지 관련해 알려드릴 것이 있어 남깁니다.

클린업피부과의원 홈페이지의 전화번호가 눌러서 전화를 걸 수 있는 형태가 아니라 글자로만 표시되어 있습니다.

휴대폰으로 보시는 분이 번호를 눌러도 아무 일이 일어나지 않아, 번호를 따로 옮겨 적어 전화 앱에 입력해야 합니다. 진료 문의가 대부분 전화로 들어오는 만큼 이 단계에서 이탈이 생깁니다.

간단한 수정으로 해결됩니다.

이 외에 휴대폰에서 화면이 좌우로 밀리는 점도 함께 확인해 보시면 좋겠습니다.

관리 업체에 그대로 전달하시면 됩니다. 제게 회신하지 않으셔도 괜찮습니다.

웅쓰컴퍼니 / woongs.official@gmail.com",,,
2,4,A,서울연합내과의원,경기,광명시,http://symedical.kr/,02-2615-8100,HTTPS 미설정(http로만 접속) / tel: 링크 없음 — 휴대폰에서 전화 연결 안 됨 / viewport 없음 — 모바일 미대응 / 개인정보처리방침 없음,"안녕하세요. 환자 문의가 아니라, 홈페이지 관련해 알려드릴 것이 있어 남깁니다.

서울연합내과의원 홈페이지에 https:// 로 접속하면 보안 인증서 오류로 경고 화면이 뜨고, http:// 로만 정상 접속됩니다.

요즘 브라우저는 주소를 입력하면 https 부터 시도하기 때문에 환자분에 따라 경고 화면을 먼저 보게 됩니다. http 로 열려도 주소창에 ""안전하지 않음""이 표시됩니다.

무료 인증서로도 해결됩니다.

이 외에 휴대폰에서 전화번호를 눌러도 연결되지 않는 점도 함께 확인해 보시면 좋겠습니다.

관리 업체에 그대로 전달하시면 됩니다. 제게 회신하지 않으셔도 괜찮습니다.

웅쓰컴퍼니 / woongs.official@gmail.com",,,
2,4,A,백외과의원,경기,구리시,http://www.baekhospital.com/,031-555-8920,HTTPS 미설정(http로만 접속) / tel: 링크 없음 — 휴대폰에서 전화 연결 안 됨 / viewport 없음 — 모바일 미대응 / 개인정보처리방침 없음,"안녕하세요. 환자 문의가 아니라, 홈페이지 관련해 알려드릴 것이 있어 남깁니다.

백외과의원 홈페이지에 https:// 로 접속하면 보안 인증서 오류로 경고 화면이 뜨고, http:// 로만 정상 접속됩니다.

요즘 브라우저는 주소를 입력하면 https 부터 시도하기 때문에 환자분에 따라 경고 화면을 먼저 보게 됩니다. http 로 열려도 주소창에 ""안전하지 않음""이 표시됩니다.

무료 인증서로도 해결됩니다.

이 외에 휴대폰에서 전화번호를 눌러도 연결되지 않는 점도 함께 확인해 보시면 좋겠습니다.

관리 업체에 그대로 전달하시면 됩니다. 제게 회신하지 않으셔도 괜찮습니다.

웅쓰컴퍼니 / woongs.official@gmail.com",,,
2,4,A,연세미피부과의원,경기,성남분당구,http://www.miskin.co.kr/,715-8188,HTTPS 미설정(http로만 접속) / tel: 링크 없음 — 휴대폰에서 전화 연결 안 됨 / 모바일 가로스크롤 발생 / 개인정보처리방침 없음,"안녕하세요. 환자 문의가 아니라, 홈페이지 관련해 알려드릴 것이 있어 남깁니다.

연세미피부과의원 홈페이지에 https:// 로 접속하면 보안 인증서 오류로 경고 화면이 뜨고, http:// 로만 정상 접속됩니다.

요즘 브라우저는 주소를 입력하면 https 부터 시도하기 때문에 환자분에 따라 경고 화면을 먼저 보게 됩니다. http 로 열려도 주소창에 ""안전하지 않음""이 표시됩니다.

무료 인증서로도 해결됩니다.

이 외에 휴대폰에서 전화번호를 눌러도 연결되지 않는 점도 함께 확인해 보시면 좋겠습니다.

관리 업체에 그대로 전달하시면 됩니다. 제게 회신하지 않으셔도 괜찮습니다.

웅쓰컴퍼니 / woongs.official@gmail.com",,,
2,4,A,정다운산부인과의원,경기,성남수정구,http://www.jkygo.co.kr/,031-747-9944,HTTPS 미설정(http로만 접속) / tel: 링크 없음 — 휴대폰에서 전화 연결 안 됨 / viewport 없음 — 모바일 미대응 / 푸터 카피라이트 2015 — 방치 인상,"안녕하세요. 환자 문의가 아니라, 홈페이지 관련해 알려드릴 것이 있어 남깁니다.

정다운산부인과의원 홈페이지에 https:// 로 접속하면 보안 인증서 오류로 경고 화면이 뜨고, http:// 로만 정상 접속됩니다.

요즘 브라우저는 주소를 입력하면 https 부터 시도하기 때문에 환자분에 따라 경고 화면을 먼저 보게 됩니다. http 로 열려도 주소창에 ""안전하지 않음""이 표시됩니다.

무료 인증서로도 해결됩니다.

이 외에 휴대폰에서 전화번호를 눌러도 연결되지 않는 점도 함께 확인해 보시면 좋겠습니다.

관리 업체에 그대로 전달하시면 됩니다. 제게 회신하지 않으셔도 괜찮습니다.

웅쓰컴퍼니 / woongs.official@gmail.com",,,
2,4,A,이화미의원,경기,성남중원구,http://ewhami.co.kr/,031-735-0100,HTTPS 미설정(http로만 접속) / tel: 링크 없음 — 휴대폰에서 전화 연결 안 됨 / viewport 없음 — 모바일 미대응 / 개인정보처리방침 없음,"안녕하세요. 환자 문의가 아니라, 홈페이지 관련해 알려드릴 것이 있어 남깁니다.

이화미의원 홈페이지에 https:// 로 접속하면 보안 인증서 오류로 경고 화면이 뜨고, http:// 로만 정상 접속됩니다.

요즘 브라우저는 주소를 입력하면 https 부터 시도하기 때문에 환자분에 따라 경고 화면을 먼저 보게 됩니다. http 로 열려도 주소창에 ""안전하지 않음""이 표시됩니다.

무료 인증서로도 해결됩니다.

이 외에 휴대폰에서 전화번호를 눌러도 연결되지 않는 점도 함께 확인해 보시면 좋겠습니다.

관리 업체에 그대로 전달하시면 됩니다. 제게 회신하지 않으셔도 괜찮습니다.

웅쓰컴퍼니 / woongs.official@gmail.com",,,
2,4,A,아산탑내과의원,경기,수원권선구,http://www.asantop.co.kr/,031-294-5400,HTTPS 미설정(http로만 접속) / tel: 링크 없음 — 휴대폰에서 전화 연결 안 됨 / viewport 없음 — 모바일 미대응 / 개인정보처리방침 없음,"안녕하세요. 환자 문의가 아니라, 홈페이지 관련해 알려드릴 것이 있어 남깁니다.

아산탑내과의원 홈페이지에 https:// 로 접속하면 보안 인증서 오류로 경고 화면이 뜨고, http:// 로만 정상 접속됩니다.

요즘 브라우저는 주소를 입력하면 https 부터 시도하기 때문에 환자분에 따라 경고 화면을 먼저 보게 됩니다. http 로 열려도 주소창에 ""안전하지 않음""이 표시됩니다.

무료 인증서로도 해결됩니다.

이 외에 휴대폰에서 전화번호를 눌러도 연결되지 않는 점도 함께 확인해 보시면 좋겠습니다.

관리 업체에 그대로 전달하시면 됩니다. 제게 회신하지 않으셔도 괜찮습니다.

웅쓰컴퍼니 / woongs.official@gmail.com",,,
